scoring,market,purchasing_date,review_title,review_content,item
100점,삼성닷컴,2024.08.24.,"
S9, S22+, 거쳐 S24+를 사용하게 되었습니다. S22+ 사용 후 S24+...
","S9, S22+, 거쳐 S24+를 사용하게 되었습니다. S22+ 사용 후 S24+를 구매하였습니다. 언제나 그렇듯, 통화 깔끔하고 적절한 성능(악명 높았던, S22+에 비하면 버스 타다가 로켓을 탄 듯 합니다)과 여러가지에서 기존 사용자들의 기대를 정확히 맞춰내는 제품입니다. 이것은 좋은 점이기도 하지만, 타 플랫폼에서 스위칭하려는 사람들에게는 매력적이지 않은 부분 그리고 타 플랫폼으로 스위칭하려는 사람에게 정당성을 부여하는 지점입니다. 적당하고 적절한 구성이지만, 뛰어난 점은 없다라고 할 수 있습니다. 그래도 안드로이드 진영에서는 다른 대안이 없음에도 이 정도 선전해 주는 것에 짧은 박수는 보냅니다.

AI 기능은, 현존하는 손바닥 위에 올려 놓는 기기 중에 최고이겠지만, Pixel 9 시리즈에도 같은 혹은 우월한 기능이 탑재되기에 (어차피 같은 기술입니다) 매우 독특하지는 않겠지만, 한국 시장에서는 제대로 된 AI 기능이 탑재된 유일한 스마트폰으로 자리잡는 건 문제없어 보입니다. 아이폰에서 AI 기능이 탑재되더라도 상당 기간 동안은 독보적인 위치를 차지할 듯 합니다. 광고에서 소개하는 AI 기능 잘 돌아가고 기대 이상의 성능을 보여줍니다. 실망하지는 않을 확률이 높습니다.

스마트폰을 샀는데, 스마트폰 사진을 찍어서 후기를 적을 수 있는지 잠시 고민해 봤습니다. 어쩔 수 없이 (불충하게도) 제 옆에 있는 아이폰14 Pro로 찍어서 올립니다. 제가 구매한 것은 강남전시장에 있는 전용색상 샌드스톤 오렌지인데, 전시장의 환한 불빛에서 보여준 (어쩌고 보라색보다 뛰어난 색감) 아름다움에 구매하였지만, 그 정도의 밝은 조명이 아니면 뭔가 색이 바랜 옛날 사진 혹은, 영롱하기를 기대했지만 조색에 실패한 색상 같아서 애매합니다. 명쾌하지도 않고 고유의 느낌이 있지도 않고 특별한 분위기를 전달해 주지도 못 합니다. 그래서 검은색 케이스를 사서 감싸고 있습니다. 다른 갤럭시와 차별되는 독특한 색상을 원했는데 (S10의 독특한 노랑처럼) 차별은 얻었지만 독특함이 안 좋은 쪽으로 치우쳐서 이 부분은 실망하고 있습니다.","삼성전자 갤럭시S24 플러스 256GB, 자급제 (자급제 공기계)"
100점,삼성닷컴,2024.03.16.,"
★갤럭시 s24 플러스(자급제) 구매후기공홈에서 주문을 하고 집 ...
","★갤럭시 s24 플러스(자급제) 구매후기

공홈에서 주문을 하고 집 근처 삼성스토어에서 픽업을 했음.
예전에 폰을 바꿀 때는 액정필름이며 케이스며 한 보따리 들고 매장을 나왔는데
이제는 기본적으로 들어있던 충전 어댑터와 이어폰이 없으니 이건 마치 연초담배
한 보루 사다가 궐련형 담배 한 보루 샀을 때의 뭔가 많이 미니멀하면서 허전한 느낌!?이
들었음. 충전 어댑터는 스페어가 워낙 많아서 아쉬울 게 없는데 아직까지도 유선 이어폰을
쓰는 꼰대 아재에게 이어폰이 없다는 건 찐으로 아쉬운 부분임.

오닉스 블랙을 사면 3만 원 할인이라 고민을 살짝 했지만 펄 보라색을 정말 좋아해서
핑클보다는 ses 팬이었던 나로서는 코발트 바이올렛을 구매할 수밖에 없었음. 실물
컬러가 훨씬 고혹적이고 내 스타일이긴 했지만 블랙 케이스에 가려서 저 예쁜 컬러는
1년에 몇 번 못 볼 것 같음!~

제품 사양은 공홈이나 여기저기 정리를 잘해놔서 따로 할 필요 없을 것 같고
노트 10을 쓰다가 넘어왔는데 크기는 조금 더 큰 편이고 무게도 살짝 무거운 정도. 액정
사이드에 곡면이 없어서 디자인적으로는 그냥 특색 없는 딱 스마트폰 느낌. 외관 디자인을
따졌으면 당연히 어른폰으로 갔겠지만 반 iOS 운영체제의 인간이라 당연히 안드로이드~
세상이 많이 발전해서 자급제 폰으로 집에서도 스마트위치란 기능으로 기존 폰에
있는 앱, 내용들을 거의 90% 이상 똑같이 30분 정도 만에 이동시키고 마무리!~","삼성전자 갤럭시S24 플러스 256GB, 자급제 (자급제 공기계)"
100점,삼성닷컴,2024.04.05.,"
자녀폰 액정 고장으로 급하게 주문광고하는것을 보고 자녀와 논의...
","자녀폰 액정 고장으로 급하게 주문
광고하는것을 보고 자녀와 논의한 후 학업생활을 열심히하겠다는 다짐을 받고 갤럭시s24+ 모델 확정후 주문
자녀가 핸드폰 받고 엄청 좋아라하고 이런저런 기능과 백업기능 그리고 성능을 보고 삼성 갤럭시s24+ 팬이 됨, 각진 모델만 사용하다 모서리 라운드된 모델은 처음인데 손에 잡히는 감촉이 좋다고 함.
고1학생 입에서 왜 삼성이 세계최고인지  이제 알겠다고 하기에 웃음이 나옴

우선 자급제폰을 삼성닷컴에서 주문해서 정품 새제품의 신뢰가 갑니다.(온라인에 짝퉁이나 중고폰을 새것처럼 저렴하게 파는 경우가 있다고해서 믿음이 잘 안감)
또한 온라인 삼성닷컴에서 주문 후 오프라인 삼성스토어 매장에서 바로 픽업이 가능하여 저는 밤 11시에 주문하고 다음날 11시에 픽업하여 굉장히 신속해서 한번 더 마음에 들었고, 픽업시 매장직원에게 이런저런 궁금증도 해결할 수 있어서 더욱 좋았습니다.
자녀의 폰 고장으로 구입해 선물해 주었는데 너무 마음에 들어하기에 저도 기분이 좋네요. 
가격도 온라인 판매상품과 비교해서도 저렴하고 제일 좋은 것은 상품에 대한 신뢰인 듯합니다.","삼성전자 갤럭시S24 플러스 256GB, 자급제 (자급제 공기계)"
100점,삼성닷컴,2024.04.17.,"
갤럭시 s8 엣지를 쓰다가 얼마전 완전 다운 되버려서 전원이 들어오지 ...
","갤럭시 s8 엣지를 쓰다가 얼마전 완전 다운 되버려서 전원이 들어오지 않아 
A35를 사려고 기다리던중 핸드폰이 없어서 불편한 점이 너무 많아 S24 핸드폰 기사를 보던중
지금 많은 분들이 만족하고 있다고 하여 급하기도 해서 S24를 사기로 마음먹고 상세 설명과 리뷰
사용기를 보고 마음에 든게 S24+ 코발트 바이올렛이라 구매하게 되었습니다.
홍대 삼성 스토어에서 구매를 하였는데 카드 문제가 좀 있어서 시간이 좀 걸리고 불편했는데 직원여자분이 친절하게 끝까지 책임 져 주셔서 아주 기분좋게 구매했습니다.
일단 오래된 핸드폰을 쓰다보니 신형 S24+ 사용상 빠르고 핸드폰 사용 색상도 이쁘고 깔끔하네요.
외관 색상 코발트 바이올렛도 기존 항상 검은색이나 그레이 색상을 써서 그런지 색감이 이쁘네요.
일단 기능은 AI 기능과 대화중 번역기능이 너무 마음에들고 사진 찍을때 색상과 선명도가 좋아보이네요.
저희 아이들과 함께하는 사진을 많이 찍을듯 합니다.
검색을 많이 하다보니 서클 투 서치 기능이 너무 편하고 좋네요...한번 꼭 해보시길.
다른 여러 기능도 많이 좋지만 다 알지 못해서 정확하게는 말씀 드리기는 힘들지만 
지금 S24 제품을 사도 크게 후회 하지는 않을듯 합니다.
저는 직원과 제품 둘다 만족해서 잘 샀다고 생각합니다
","삼성전자 갤럭시S24 플러스 256GB, 자급제 (자급제 공기계)"
100점,삼성닷컴,2024.05.26.,"
노트10이랑 아이폰을 번갈아가면서 쓰다가, 사고로 인하여 아이폰 ...
","노트10이랑 아이폰을 번갈아가면서 쓰다가, 사고로 인하여 아이폰 후면유리 박살내고 엄청난 수리비로 인하여, 쓰던폰을 떠나보내고, 노트로 유지해오다가
​
S25 차기작을 기다릴까, 24플러스를 살까 고민하다가 결국 강남 삼성매장에 진열된 실물을보고 너무 반하여 할인쿠폰 카드할인적용해서 나름 저렴하게
​
삼성닷컴 전용색상을 주문해서 픽업하였습니다...
​
​
한 2~3주째 사용중인데, 아이폰이 생각나지 않을정도로 너무 만족합니다. 부드러움과 빠릿빠릿한 처리속도 화면전환감이 예전보다 훨씬 많이 좋아졌습니다.
​
카메라 화질도 많이 개선되었네요
​
이제 앞으로 24시리즈부터 운영체제 업그레이드를 5~6년간 지원해준다니 앞으로 오래 쓸 수 있을거같아요 이번 갤럭시만큼은요
케이스를 껴도 이쁘고 벗기면 더 이쁘고 괜히 뒷면을 일부러 더 보게되고, 너무이쁩니다.","삼성전자 갤럭시S24 플러스 256GB, 자급제 (자급제 공기계)"
100점,삼성닷컴,2024.08.05.,"
#삼성전자이벤트참여어머님께서 보급형 모델인 a32 모델을 약 3년 ...
","#삼성전자이벤트참여

어머님께서 보급형 모델인 a32 모델을 약 3년 정도 사용하셨는데, 항상 저가형 모델만 사용하셔서 이번에 큰 맘 먹고 좋은 최신형 모델로 구매하게 되었습니다.
저희 가족 4명 모두 스마트폰 처음 나왔을 때 부터 쭉 갤럭시만 써와서 이번에도 익숙한 갤럭시로 구매했고, 삼성닷컴에 있는 강남스토어 단독컬러 중 오렌지 색상을 가장 마음에 들어하셔서 폰 디자인 및 크기 고려하여 s24+ 모델로 결정하게 되었습니다. 강남에만 있는 색상이라 실물 확인을 못하고 구매해서 걱정을 많이 했는데 실물이 더 예뻐서 너무 좋아하십니다. 새로운 Ai 기능 등 다른 기능들도 알려드리니 너무 좋아하시고 기존 폰과는 성능 및 디자인도 확실히 대비가 되어서 만족도는 최상인 듯 싶습니다.","삼성전자 갤럭시S24 플러스 256GB, 자급제 (자급제 공기계)"
100점,삼성닷컴,2024.03.30.,"
이전 갤럭시s10을 4-5 사용했는데 슬슬 여기저기 아픈곳들이 점점 생겨서...
","이전 갤럭시s10을 4-5 사용했는데 슬슬 여기저기 아픈곳들이 점점 생겨서 놔줘야겠어서
이번에 갤럭시S24가 나왔다는것을 알았죠.  마침 #삼성전자이벤트 기간이여서 스마트텍2와 실리콘 케이스까지 증정.. 그외에 케이스할인권등을 주니 구매해야겠다하고 바로  고고~
딱보니 사파이어 블루색상이 맘에들어서 신청을 하고 생각보다 금방 받았습니다. 그리고 3일지나 증정상품 신청하니 엄청빨리오네요.
이번나온 S24는 울트라는 너무 크고 기본 S24는 조금2% 부족하고 S24+ 크기가 적당한거 같아서
구매했는데 남자인제가 들었을때 딱 좋더라고요. 그리고 엣지없어진게 차라리 좋은거같고 테두리 라운딩이 훨씬 안정적이게 보입니다. 자급제라 유심꼽으니 어려움없이 진행되고 데이터도 조금 걸렸지만 잘옴겨지네요. 아직 많이 사용해보진 않았지만 오랫만에 바꾼거라그런지 신세계 였습니다.
사진과 특히 실시간번역~!!!! 제가 가족친지중에 외국인이 많은데 당연 실시간100%는 아니지만 은근 번역이 되어 통화된다는게 신세계였습니다. 이번에 잘바꾼거같아요. 스마트테그는 아이가방에 넣으줄 생각이고 실리콘케이스도 이쁘네요. 오랫만에 폰바꾸니 기분좋습니다.","삼성전자 갤럭시S24 플러스 256GB, 자급제 (자급제 공기계)"
100점,삼성닷컴,2024.04.18.,"
핸드폰을 온라인에서 구매하고 바로 픽업 서비스로 수령할 수 있...
","핸드폰을 온라인에서 구매하고 바로 픽업 서비스로 수령할 수 있어 좋았습니다. 
오랜만에 핸드폰을 바꿔서인지 성능도 훨씬 좋아지고 아이폰에 뒤쳐지는 느낌이 이제는 전혀 없어졌다는 느낌도 받았습니다. 그립감도 좋고 내구성도 뛰어나고 홈페이지에서 구매하니 파손 교체도 되고, 24개월 무이자 할부도 되어서 여러모로 좋았습니다.
다만 한가지 제안하고 싶은 점은 핸드폰 앱의 아이콘이 너무 오래 동안 같은 디자인을 사용하고 있어서요. 좀 더 색상이나 디자인이 예쁘게 바뀌면 더 좋을 것 같습니다.
그리고 갤럭시 S24의 특장점인 번역 기능이 너무 숨어 있어요 ㅋㅋㅋ 잘 보이게 세팅하면 좋겠습니다~","삼성전자 갤럭시S24 플러스 256GB, 자급제 (자급제 공기계)"
100점,삼성닷컴,2024.07.18.,"
처음에는 보급형인 갤럭시 A 시리즈를 살까 고민했지만, 성능, ...
","처음에는 보급형인 갤럭시 A 시리즈를 살까 고민했지만, 성능, 디자인, AI 기능 등을 고려하여 결국에는 갤럭시 S24 플러스를 구매했습니다.

배송은 일주일이 소요되었는데, 좀 더 빠르면 좋겠다고 생각합니다.

삼성닷컴 전용 색상인 사파이어 블루를 선택했는데, 실제 제품을 받아보니 은은하게 서늘하면서도 부드러운 것이 아주 마음에 듭니다.

디자인도 좋고, 크기도 너무 작지도 너무 크지도 않은 것이 적당하다고 생각됩니다.

무게는 크게 불편하지는 않지만, 조금만 더 가벼우면 좋겠습니다.","삼성전자 갤럭시S24 플러스 256GB, 자급제 (자급제 공기계)"
100점,삼성닷컴,2024.03.27.,"
갤럭시 A시리즈를 7.8년 썼었습니다^^핸드폰은 기본만 되면 되지...
","갤럭시 A시리즈를 7.8년 썼었습니다^^
핸드폰은 기본만 되면 되지 라는 생각으로요
아주 만족스럽게 썼습니다
그런데 핸드폰을 떠러뜨려 액정에 약간의 스크래치?

외국 여행을 앞두고 액정이 나갈까바
이참에 갤럭시S24+로 구매하게 되었습니다 

삼성몰에서 구매한것은 
정품에대한 신뢰도 때문에
삼성몰에서 구매했습니다

화면해상도 속도 디자인 너무 만족합니다
통화 어시스트 통역은 정말 신세계 였습니다

저는 자가폰으로 구매했는데
기기 이동도 혼자 너무 쉽게 잘했습니디

또한 배송 기사님도 친절하게
제가 제품을 수령할 수 있는 시간에 
최대한 맞쳐주셔서 감사했습니디","삼성전자 갤럭시S24 플러스 256GB, 자급제 (자급제 공기계)"
100점,삼성닷컴,2024.03.28.,"
이전에 플립3를 계속 사용했었는데 슬슬 배터리 부족한게 아쉬웟...
","이전에 플립3를 계속 사용했었는데 슬슬 배터리 부족한게 아쉬웟습니다. 삼성에서 신규 폰이 나왔다고해서 찾아보니 엄청 무겁지도않은데 플립에 비해 1000이상 배터리 용량이 커서 구매하게되었어요. 
플립에 비해 이런저런 기능들이 많이추가되어 지금 적응하며 사용중입니다. 제품 받게되면 유투버들이 설명해주는 초기설정들 따라서 적용하는게 좋아요. 
색상은 전용컬러 블루가 제 눈엔 제일 이쁩니다. 실제로 받았을때 그레이도 이뻤지만 블루가 제일 유니크합니다.
우선 번역기능 무조건 활용하려면 사용 안하는 언어여도 다 다운해두는걸 추천합니다. 미리 받아둬야 언젠가 사용할일이 있을거같아요. 그리고 AOD는 추천 사진으로 받고, 시계 디스플레이는 오토로 두면 실시간으로 잠금화면이 바뀌는 기분이라 좋아요.
#삼성전자이벤트참여","삼성전자 갤럭시S24 플러스 256GB, 자급제 (자급제 공기계)"
